n_F35,n_V22,n_AV8B,n_SH60,perc,w_fuel,w_veh
0,4,7,6,0.445145413,1693.044873,155.6
0,4,8,0,0.170677207,1618.53666,114.04
0,4,8,1,0.268215212,1651.733922,122.09
0,4,8,2,0.365753216,1684.931183,130.14
0,4,8,3,0.463291221,1718.128445,138.19
0,4,9,0,0.481437028,1743.212016,120.78
0,5,0,15,-0.449588569,1274.376188,195.9
0,5,0,16,-0.352050565,1307.573449,203.95
0,5,0,17,-0.25451256,1340.770711,212
0,5,0,18,-0.156974556,1373.967972,220.05
0,5,0,19,-0.059436551,1407.165233,228.1
0,5,0,20,0.038101453,1440.362495,236.15
0,5,0,21,0.135639458,1473.559757,244.2
0,5,0,22,0.233177462,1506.757018,252.25
0,5,0,23,0.330715467,1539.95428,260.3
0,5,0,24,0.428253471,1573.151541,268.35
0,5,1,12,-0.431442762,1299.459759,178.49
0,5,1,13,-0.333904758,1332.657021,186.54
